model,accuracy,precision,recall,f1,far,auc,train_seconds,n_features,tn,fp,fn,tp
Logistic Regression,0.98885,0.9371998989133181,0.9773356173408881,0.956847061858995,0.009482742172444715,0.9991305856956401,245.60627589999785,191,51914,497,172,7417
Decision Tree,0.9926333333333334,0.976276156204185,0.9652128080115957,0.9707129605088789,0.003396233615080804,0.9994999121036914,7.13583180000569,191,52233,178,264,7325
Random Forest,0.9935333333333334,0.9743116848900013,0.9745684543418105,0.9744400527009223,0.0037205930052851503,0.9997509397171461,39.089685500002815,191,52216,195,193,7396
XGBoost,0.9929166666666667,0.9710678590215676,0.9729872183423376,0.9720265911933127,0.004197592108526836,0.9996593639346376,28.93826740000077,191,52191,220,205,7384
Linear SVM,0.9885833333333334,0.9230392156862746,0.9924891290025036,0.9565051749317417,0.01198221747343115,0.9984338741052073,3.5327926999962074,191,51783,628,57,7532
Decision Tree Selected Features,0.9926333333333334,0.976276156204185,0.9652128080115957,0.9707129605088789,0.003396233615080804,0.9994798101333133,4.307795199994871,55,52233,178,264,7325
Random Forest Selected Features,0.9938666666666667,0.9767595404727321,0.9747002240084333,0.975728795673394,0.0033580736868214687,0.9997634476656961,46.28781270000036,55,52235,176,192,7397
